Date,HDFC Bank Ltd,STATE BANK OF INDIA,ITC LTD.,INFOSYS LTD.,MINDTREE LTD.
Aug-16,1290.75,252.55,260.05,1036.8,563.8
Sep-16,1271.7,250.7,241.55,1038.1,481.45
Oct-16,1253.7,257.85,241.9,1002.5,440.85
Nov-16,1199.6,258.4,232.9,975.45,477.15
Dec-16,1204.2,249.75,240.95,1010.7,521.75
Jan-17,1286.95,260,258.05,929.3,450.6
Feb-17,1389.2,269.2,262.15,1012.3,473.35
Mar-17,1442.3,292.6,280.45,1020.8,452.4
Apr-17,1542.15,289.45,278.6,919.4,486.15
May-17,1633.35,288.55,311.9,976.95,544.85
Jun-17,1652.25,273.6,323.85,935.65,528.55
Jul-17,1783.35,312.55,285.15,1011.3,477
Aug-17,1775,277.35,282.2,915.3,462.65
Sep-17,1803.05,253.75,258.25,898.75,463.55
Oct-17,1808.8,305.8,266.1,921.65,480.25
Nov-17,1852.05,320.45,255.65,974.95,538.85
Dec-17,1873.55,309.5,263.1,1039.3,610.1
Jan-18,2006.35,312.75,271.25,1150.65,768.45
Feb-18,1883.8,268.75,265.1,1174.25,814.45
Mar-18,1891.45,250.1,255.9,1134.4,774
Apr-18,1944.6,246.3,281.45,1199.4,1085.35
May-18,2136.15,269.2,271.6,1231.9,1007.65
Jun-18,2108.05,259.3,266.05,1306.75,986.35
Jul-18,2181.05,293.4,297.2,1365,930.7
Aug-18,2062.25,308.85,319.15,1440,1112.55
Sep-18,2005.65,265,296.7,727.85,1033.55
Oct-18,1911.85,280.5,279.8,686.25,852.55
Nov-18,2117.15,284.35,286.25,666.5,876.25
Dec-18,2122.45,295.65,281.65,659.85,863.35
Jan-19,2081.15,293.35,278.75,749.6,894.1
Feb-19,2082.15,269.75,276.15,733.95,908.35
Mar-19,2316.5,320.8,296.7,742.3,943.95
Apr-19,2315.5,310.2,301.55,749.95,981.3
May-19,2424.9,352.55,278.65,736.85,977.7
Jun-19,2446.4,360.9,273.95,731.95,927.5
Jul-19,2251.8,332.05,270.05,794,717.3
Aug-19,2228.9,273.7,245.55,814.6,688.75
Sep-19,1227.35,270.9,259.7,805.3,708.05
Oct-19,1229.95,312.25,257.55,685.5,712.55
Nov-19,1274.25,341.85,246.35,695.95,699.5
Dec-19,1271.8,333.7,237.65,731.75,799.2
Jan-20,1225.7,318.55,235.25,776.35,887.9
Feb-20,1177.6,302.9,197.6,731.35,952.95
Mar-20,862,196.95,172,640.3,828.3
Apr-20,1001.75,190.4,182.15,716.2,915.3
May-20,951.25,160.3,197.45,691.35,894
Jun-20,1065.7,178.4,194.6,735.9,926.05
Jul-20,1032.65,191.45,194.1,966.25,1083.35
Aug-20,1115.2,212.15,191.25,928.5,1155.9
Sep-20,1079.2,185.4,171.75,1008,1338.15
Oct-20,1183.45,189.25,165.25,1060.6,1326.9
Nov-20,1440.7,244.3,193.7,1100.55,1417.45
Dec-20,1436.75,274.75,209,1255.85,1657.45
Jan-21,1390.8,282.05,203.25,1239.65,1643.3
Feb-21,1534.35,390.2,204.05,1252.35,1599.35
Mar-21,1493.55,364.35,218.5,1367.75,2084.5
Apr-21,1412.2,353.45,202.7,1353.9,2105.55
May-21,1516.4,424.25,216.6,1393.65,2393.1
Jun-21,1498.05,419.25,202.75,1581.25,2600.9
Jul-21,1425.8,431.7,205,1610.25,2863.85
Aug-21,1568.05,422.7,207.95,1697.85,3600.05
